Fiscal Year Released,Recidivism Reporting Year,Main Supervising District,Release Type,Race - Ethnicity,Age At Release ,Sex,Offense Classification,Offense Type,Offense Subtype,Return to Prison,Days to Return,Recidivism Type,New Offense Classification,New Offense Type,New Offense Sub Type,Target Population
2011,2014,1JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Violent,Assault,Yes,227,New,D Felony,Public Order,Weapons,Yes
2011,2014,7JD,Special Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Other Public Order,Yes,192,Tech,,,,Yes
2011,2014,7JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,Yes
2011,2014,6JD,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Violent,Robbery,No,,No Recidivism,,,,Yes
2011,2014,6JD,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Violent,Robbery,No,,No Recidivism,,,,Yes
2011,2014,,Parole,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Vandalism,No,,No Recidivism,,,,No
2011,2014,2JD,Parole,Black - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,Yes,489,Tech,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,C Felony,Drug,Trafficking,Yes,860,New,C Felony,Drug,Trafficking,No
2011,2014,,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No
2011,2014,Interstate Compact,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Assault,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Weapons,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Weapons,No,,No Recidivism,,,,No
2011,2014,3JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,648,New,D Felony,Drug,Drug Possession,Yes
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Public Order,Other Public Order,Yes,162,New,D Felony,Public Order,Other Public Order,No
2011,2014,1JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes
2011,2014,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Female,D Felony,Property,Burglary,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Female,D Felony,Property,Burglary,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Weapons,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Weapons,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,Black - Hispanic,25-34,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,No
2011,2014,7JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Other,Other Violent,Yes,170,Tech,,,,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Public Order,Weapons,Yes,903,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,594,New,Serious Misdemeanor,Violent,Assault,No
2011,2014,5JD,Parole,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Property,Theft,Yes,323,New,Aggravated Misdemeanor,Property,Theft,Yes
2011,2014,3JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,519,New,D Felony,Drug,Drug Possession,Yes
2011,2014,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,217,Tech,,,,Yes
2011,2014,3JD,Parole,White - Non-Hispanic,55 and Older,Female,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,913,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
2011,2014,5JD,Parole,White - Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,7JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Property,Vandalism,No,,No Recidivism,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,Yes,598,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
2011,2014,2JD,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,702,New,D Felony,Public Order,OWI,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,C Felony,Violent,Sex,Yes,1038,New,D Felony,Violent,Assault,No
2011,2014,Interstate Compact,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,5JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Drug,Drug Possession,No,,No Recidivism,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Burglary,Yes,426,New,D Felony,Property,Burglary,No
2011,2014,5JD,Parole,Asian or Pacific Islander - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes
2011,2014,7JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,Yes
2011,2014,7JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,Yes
2011,2014,8JD,Parole,Black - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,453,Tech,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Burglary,Yes,204,New,D Felony,Violent,Assault,No
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Female,D Felony,Property,Theft,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,102,Tech,,,,No
2011,2014,2JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Theft,No,,No Recidivism,,,,Yes
2011,2014,Interstate Compact,Parole,White - Non-Hispanic,35-44,Female,Aggravated Misdemeanor,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,2JD,Special Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,150,Tech,,,,Yes
2011,2014,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,556,New,C Felony,Drug,Trafficking,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,C Felony,Violent,Murder/Manslaughter,No,,No Recidivism,,,,No
2011,2014,5JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Property,Burglary,Yes,474,New,C Felony,Property,Burglary,Yes
2011,2014,3JD,Parole,White - Non-Hispanic,55 and Older,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,No,,No Recidivism,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,No
2014,2017,,,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,No
2011,2014,2JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,Yes,560,New,D Felony,Violent,Assault,Yes
2011,2014,6JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Property,Burglary,No,,No Recidivism,,,,Yes
2011,2014,6JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Property,Burglary,No,,No Recidivism,,,,Yes
2011,2014,5JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Drug,Trafficking,Yes,1089,Tech,,,,Yes
2011,2014,6JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,No,,No Recidivism,,,,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,No,,No Recidivism,,,,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,264,New,D Felony,Public Order,Traffic,Yes
2011,2014,3JD,Special Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Violent,Sex,Yes,296,Tech,,,,Yes
2011,2014,7JD,Special Sentence,Black - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Other,Other Criminal,Yes,158,Tech,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,626,New,D Felony,Drug,Drug Possession,No
2011,2014,6JD,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,1JD,Parole,Black - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,400,New,Serious Misdemeanor,Public Order,OWI,Yes
2011,2014,3JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,Yes,107,Tech,,,,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,Under 25,Female,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,35-44,Female,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,758,New,Aggravated Misdemeanor,Property,Theft,Yes
2011,2014,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,207,New,C Felony,Drug,Trafficking,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Theft,Yes,287,New,C Felony,Property,Theft,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,384,New,D Felony,Public Order,OWI,No
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Public Order,Flight/Escape,No,,No Recidivism,,,,No
2011,2014,3JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,929,New,B Felony,Violent,Murder/Manslaughter,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Theft,Yes,315,Tech,,,,Yes
2011,2014,8JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Burglary,Yes,156,Tech,,,,Yes
2011,2014,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,,No Recidivism,,,,Yes
2011,2014,,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,5JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Traffic,Yes,627,New,D Felony,Public Order,Weapons,Yes
2011,2014,Interstate Compact,Parole,White - Hispanic,45-54,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,Interstate Compact,Parole,White - Hispanic,45-54,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,Interstate Compact,Parole,White - Hispanic,45-54,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,Interstate Compact,Parole,White - Hispanic,45-54,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,2JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Violent,Murder/Manslaughter,No,,No Recidivism,,,,Yes
2011,2014,5JD,Parole,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,No,,No Recidivism,,,,Yes
2011,2014,5JD,Parole,White - Hispanic,Under 25,Female,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,3JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Property,Forgery/Fraud,Yes,88,New,D Felony,Property,Forgery/Fraud,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Other Public Order,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Other Public Order,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Other Public Order,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Other Public Order,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Other Public Order,No,,No Recidivism,,,,No
2011,2014,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Assault,No,,No Recidivism,,,,Yes
2011,2014,5JD,Special Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Other,Other Criminal,Yes,173,New,Aggravated Misdemeanor,Violent,Kidnap,No
2011,2014,6JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,228,Tech,,,,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,355,Tech,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,C Felony,Property,Burglary,No,,No Recidivism,,,,No
2014,2017,,,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,282,New,Aggravated Misdemeanor,Violent,Assault,Yes
2011,2014,2JD,Parole,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,No,,No Recidivism,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,3JD,Parole,American Indian or Alaska Native - Non-Hispanic,Under 25,Male,C Felony,Property,Arson,No,,No Recidivism,,,,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Property,Theft,Yes,887,New,D Felony,Property,Theft,Yes
2011,2014,1JD,Parole,Black - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,1JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Violent,Other Violent,Yes,526,Tech,,,,Yes
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,142,New,D Felony,Property,Theft,No
2011,2014,2JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,231,Tech,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Violent,Sex,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Violent,Sex,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Violent,Sex,No,,No Recidivism,,,,No
2011,2014,1JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Violent,Other Violent,No,,No Recidivism,,,,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Burglary,Yes,260,New,Aggravated Misdemeanor,Property,Theft,Yes
2011,2014,1JD,Special Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Sex,No,,No Recidivism,,,,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Other Violent,Yes,237,Tech,,,,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,152,Tech,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Female,Aggravated Misdemeanor,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Female,Aggravated Misdemeanor,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,2JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,39,Tech,,,,Yes
2011,2014,2JD,Parole,White - Non-Hispanic,25-34,Male,Special Sentence 2005,Violent,Sex,Yes,253,New,Serious Misdemeanor,Public Order,Traffic,Yes
2011,2014,7JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,Yes
2011,2014,2JD,Parole,White - Hispanic,Under 25,Male,D Felony,Drug,Trafficking,Yes,121,Tech,,,,Yes
2011,2014,8JD,Special Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Other,Other Criminal,Yes,157,Tech,,,,Yes
2014,2017,,,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Public Order,Other Public Order,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Public Order,Other Public Order,No,,No Recidivism,,,,No
2011,2014,4JD,Special Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Sex,Yes,192,Tech,,,,Yes
2011,2014,7JD,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,7JD,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,1JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes
2011,2014,1JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Property,Forgery/Fraud,Yes,335,New,Aggravated Misdemeanor,Property,Theft,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Theft,No,,No Recidivism,,,,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Theft,No,,No Recidivism,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Traffic,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Traffic,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Traffic,No,,No Recidivism,,,,No
2014,2017,,,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Violent,Assault,Yes,891,New,Aggravated Misdemeanor,Violent,Assault,No
2011,2014,Interstate Compact,Parole,White - Hispanic,Under 25,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,Interstate Compact,Parole,White - Hispanic,Under 25,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No
2011,2014,5JD,Parole,White - Non-Hispanic,Under 25,Female,C Felony,Drug,Trafficking,Yes,778,Tech,,,,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Property,Theft,Yes,506,Tech,,,,Yes
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,345,New,D Felony,Violent,Assault,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,830,New,D Felony,Public Order,Other Public Order,No
2011,2014,Interstate Compact,Parole,White - Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,477,Tech,,,,No
2011,2014,Interstate Compact,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,No
2011,2014,Interstate Compact,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,No
2011,2014,Interstate Compact,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,No
2011,2014,7JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
2011,2014,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Vandalism,No,,No Recidivism,,,,Yes
2011,2014,Interstate Compact,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,Yes
2011,2014,8JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,265,Tech,,,,Yes
2011,2014,Interstate Compact,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,Interstate Compact,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,Interstate Compact,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,,No Recidivism,,,,No
2011,2014,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Female,Aggravated Misdemeanor,Public Order,Traffic,No,,No Recidivism,,,,No
2011,2014,2JD,Special Sentence,White - Non-Hispanic,Under 25,Male,D Felony,Violent,Sex,No,,No Recidivism,,,,Yes
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,297,New,D Felony,Property,Burglary,No
2011,2014,7JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Drug,Trafficking,Yes,72,Tech,,,,Yes
2011,2014,4JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Property,Vandalism,No,,No Recidivism,,,,Yes
2011,2014,2JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Traffic,No,,No Recidivism,,,,Yes
2011,2014,6JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,Yes
2011,2014,6JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,Yes
2011,2014,Interstate Compact,Parole,White - Hispanic,35-44,Male,D Felony,Property,Vandalism,No,,No Recidivism,,,,No
2011,2014,8JD,Parole,White - Non-Hispanic,25-34,Female,Aggravated Misdemeanor,Public Order,Traffic,No,,No Recidivism,,,,Yes
2011,2014,7JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Burglary,Yes,286,New,D Felony,Property,Forgery/Fraud,Yes
2011,2014,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,B Felony,Violent,Other Violent,No,,No Recidivism,,,,No
2011,2014,3JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,3JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2011,2014,4JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes
