Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Main Supervising District,Release Type,Release type: Paroled to Detainder united,Part of Target Population,Recidivism - Return to Prison numeric
2011,2014,White - Hispanic,Under 25,D Felony,Property,Vandalism,3JD,Parole,Parole,Yes,0
2011,2014,White - Hispanic,Under 25,D Felony,Property,Vandalism,3JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,1JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,1JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,45-54,D Felony,Property,Burglary,Interstate Compact,Parole,Parole,No,0
2011,2014,Black - Non-Hispanic,45-54,D Felony,Property,Burglary,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Traffic,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Traffic,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Traffic,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Property,Vandalism,7JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,55 and Older,C Felony,Property,Arson,3JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,OWI,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,OWI,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,OWI,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Theft,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,55 and Older,B Felony,Violent,Sex,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,55 and Older,B Felony,Violent,Sex,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,55 and Older,B Felony,Violent,Sex,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,8JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,8JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,8JD,Parole,Parole,Yes,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Forgery/Fraud,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,2JD,Parole,Parole,Yes,0
2011,2014,White - Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Public Order,OWI,2JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Public Order,OWI,2JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,8JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,8JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,OWI,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,OWI,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,OWI,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,OWI,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Hispanic,45-54,D Felony,Public Order,OWI,3JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Property,Burglary,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Property,Burglary,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Property,Burglary,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Alcohol,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Alcohol,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Sex,7JD,Special Sentence,Special Sentence,Yes,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Robbery,4JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,B Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,35-44,Serious Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Traffic,5JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Other Violent,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Other Violent,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Robbery,Interstate Compact,Parole,Parole,No,0
2011,2014,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Traffic,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,2JD,Parole,Parole,Yes,0
2011,2014,White - Hispanic,25-34,B Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Hispanic,25-34,B Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Hispanic,25-34,B Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Hispanic,25-34,B Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Hispanic,25-34,B Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Hispanic,25-34,B Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Hispanic,25-34,B Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Hispanic,25-34,B Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Hispanic,25-34,B Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Hispanic,25-34,B Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Drug,Other Drug,2JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,Under 25,C Felony,Property,Theft,7JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,OWI,5JD,Parole,Parole,Yes,0
2011,2014,White - Hispanic,35-44,D Felony,Violent,Assault,,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,B Felony,Drug,Trafficking,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,B Felony,Drug,Trafficking,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,B Felony,Drug,Trafficking,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,B Felony,Drug,Trafficking,5JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,B Felony,Other,Other Criminal,1JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,7JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,55 and Older,D Felony,Violent,Other Violent,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Drug,Trafficking,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,B Felony,Drug,Trafficking,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Assault,1JD,Parole,Parole,Yes,0
2011,2014,White - Hispanic,35-44,D Felony,Public Order,OWI,1JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Property,Burglary,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Other,Other Criminal,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,8JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,8JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,8JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,C Felony,Violent,Sex,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,3JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,5JD,Parole,Parole,Yes,0
2011,2014,White - Hispanic,35-44,Aggravated Misdemeanor,Violent,Other Violent,1JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,Vandalism,3JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,1JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,1JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,1JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,D Felony,Violent,Sex,6JD,Special Sentence,Special Sentence,Yes,0
2011,2014,White - Non-Hispanic,55 and Older,D Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,2JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Violent,Other Violent,8JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Violent,Murder/Manslaughter,8JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,OWI,1JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,OWI,1JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,7JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,7JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Robbery,8JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,7JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,45-54,C Felony,Property,Theft,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Other,Other Criminal,3JD,Special Sentence,Special Sentence,Yes,0
2011,2014,Black - Non-Hispanic,55 and Older,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,B Felony,Drug,Trafficking,1JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,B Felony,Drug,Trafficking,1JD,Parole,Parole,Yes,0
2011,2014,White - Hispanic,25-34,C Felony,Violent,Sex,Interstate Compact,Special Sentence,Special Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,6JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Theft,3JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,Burglary,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,Burglary,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,Burglary,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,Burglary,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Public Order,OWI,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,Under 25,D Felony,Violent,Other Violent,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,5JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Drug,Trafficking,7JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Drug,Trafficking,7JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Drug,Trafficking,7JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Drug,Trafficking,7JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Drug,Trafficking,7JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Drug,Trafficking,7JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Theft,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Violent,Assault,2JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Other,Animals,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,25-34,C Felony,Drug,Trafficking,3JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Violent,Sex,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Violent,Sex,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,6JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,6JD,Parole,Parole,Yes,0
2011,2014,White - Hispanic,25-34,D Felony,Drug,Drug Possession,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Theft,5JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Interstate Compact,Parole,Parole,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,OWI,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Other Public Order,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,Under 25,C Felony,Property,Theft,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,8JD,Parole,Parole,Yes,0
2011,2014,Black - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Weapons,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Weapons,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Weapons,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Weapons,5JD,Parole,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,0
